text,type
Die Unterstützung und das Engagement unserer Account-Managerin von unternehmen war vorbildlich.,Gewissenhaft
"schnell, unkompliziert, kompetent und freundlich",Initiativ
"Sehr gute kompetente Beratung und schnelle, bedarfsorientierte Abwicklung",Dominant
"Super Portal, Super Kontakt jederzeit wieder!",Initiativ
"Hervorragend – nur positive Erfahrungen, das Unternehmen ist weiterzuempfehlen.",Initiativ
"Die Zusammenarbeit, die schnelle unkomplizierte Kommunikation und die mustergültige Abwicklung sind 5* wert. 
Vielen Dank für die Unterstützung und bis zum nächsten Projekt.",Initiativ
"unternehmen hat mir wirklich sehr schnell und unbürokratisch weitergeholfen. Vor allem die Erreichbarkeit des Betreuers und die Flexibilität ist stark
Vieeelen herzlichen Dank hervorzuheben. ",Initiativ
"Schnelle und professionelle Hilfe, taggenuae Bearbeitung. Bei nicht einfachen Bedingungen für den Finanzierer werden über den Tellerrand schauende Geldgeber vermittelt.",Gewissenhaft
Unkompliziert und schnell,Dominant
"ich habe mich gut beraten und aufgehoben gefühlt.
Herr nachname hat auch während der Finanzierungsgestaltung mit der Bank, oft sich selbständig nach dem Stand der Dinge erkundigt und stand grundsätzlich in allen Belangen beratend zur Seite.",Stetig
Besten Dank für die gute Abwicklung! Auch beim nächsten Mal werden wir Ihren Service gerne wieder nutzen.,Stetig
"Sehr fachliche Beratung und schnelle, freundliche Bearbeitung",Initiativ
"Ich hätte es nicht geglaubt! Aber 2 Std nach Veröffentlichung der Ausschreibung lag das erste - sehr gute Angebot einer Bank vor.
Innerhalb von einer Woche - und das trotz der Osterfeiertagen - war das Darlehen auf meinem Konto.
Schnelle, unbürokratische Abwicklung
Professionelle Begleitung
Absolut empfehlenswert!",Initiativ
"Guter Kontakt, gute Beratung. Auch wenn wir diesesmal am Ende nicht zusammengekommen sind, kommen wir trotzdem gerne wieder auf Ihren Service zurück.",Stetig
"Als Selbständige ist es nicht so einfach ein Darlehen zu bekommen. Die Finanzexpertin Frau nachname führte zuerst mit mir ein Gespräch, um sich ein Bild meiner Lage zu machen. Nachdem ich dann alle Unterlagen zusammengestellt hatte und zu meiner Finanzexpertin mailte, machte sie sich gleich an die Arbeit und hatte ein positives Ergebnis binnen 24 Stunden. Damit hatte ich nicht gerechnet und bin noch total überrascht und freue mich sehr, über das Ergebnis.
Ich kann nur jedem raten, an seine Träume zu glauben und die richtigen Experten dafür zu finden und die sind bei unternehmen... Herzlichen Dank und bin gespannt, was noch kommt!",Stetig
"Wir haben kurzfristig eine Liquiditätsspritze benötigt innerhalb von rund 2 Wochen hatten wir das Geld auf unserem Konto.

Herr nachname hat uns sehr gut beraten und begleitet.

Wir können Herrn Nitsche sowie unternehmen zu 100 % weiterempfehlen.",Stetig
"Schnelle Abläufe, kompetent",Dominant
"Klasse Abwicklung, unkompliziert und schnell! Die Bankberaterin von unternehmen war super, ich war immer auf dem laufenden und somit konnten Fragen sofort beantwortet und geklärt werden! Ich werde Finanzen zukünftig nur noch über unternehmen abwickeln!",Initiativ
"Schnell, professionell und direkt. Man muß nicht lange warten dann rufen Sie einen zurück. Die Firma unternehmen geht auf einen ein. Vielen Dank an Herr D.....",Initiativ
"unternehmen ist nicht bloß eine kalte FinTech-Plattform, die Daten von links nach rechts verschiebt. unternehmen ist ein Team von echten Profis, die Dinge ermöglichen.",Initiativ
"Es war uns eine Freude , mitzuerleben , dass es in dieser Branche noch Menschen gibt neben Computerzahlen und Annonymität. Vielen Dank ! S. DILLING",Initiativ
"Schnell, kompetent, günstiger Zinssatz, uneingeschränkt empfehlenswert",Dominant
"Persönliche Betreuung, sehr nette Kollegen, schnelle Abwicklung.",Initiativ
