"";"text";"type";"Englisch"
"1";"Die Unterstützung und das Engagement unserer Account-Managerin von unternehmen war vorbildlich.";"Gewissenhaft";"The support and commitment of our corporate account manager was exemplary."
"2";"schnell, unkompliziert, kompetent und freundlich";"Initiativ";"fast, uncomplicated, competent and friendly"
"3";"Sehr gute kompetente Beratung und schnelle, bedarfsorientierte Abwicklung";"Dominant";"Very good competent advice and fast, demand-oriented processing"
"4";"Super Portal, Super Kontakt jederzeit wieder!";"Initiativ";"Super Portal, Super Contact anytime again!"
"5";"Hervorragend – nur positive Erfahrungen, das Unternehmen ist weiterzuempfehlen.";"Initiativ";"Excellent - only positive experiences, the company can be recommended."
"6";"Die Zusammenarbeit, die schnelle unkomplizierte Kommunikation und die mustergültige Abwicklung sind 5* wert. Vielen Dank für die Unterstützung und bis zum nächsten Projekt.";"Initiativ";"The cooperation, the fast and uncomplicated communication and the exemplary handling are worth 5*.  Thank you very much for your support and until the next project."
"7";"unternehmen hat mir wirklich sehr schnell und unbürokratisch weitergeholfen. Vor allem die Erreichbarkeit des Betreuers und die Flexibilität ist stark. Vieeelen herzlichen Dank hervorzuheben. ";"Initiativ";"The company really helped me very quickly and unbureaucratically. Above all, the accessibility of the supervisor and the flexibility are strong Vieeelen heartfelt thanks to emphasize. "
"8";"Schnelle und professionelle Hilfe, taggenuae Bearbeitung. Bei nicht einfachen Bedingungen für den Finanzierer werden über den Tellerrand schauende Geldgeber vermittelt.";"Gewissenhaft";"Fast and professional help, day-to-day processing. If the conditions for the financier are not easy, donors who look beyond their own horizons are placed."
"9";"Unkompliziert und schnell";"Dominant";"Uncomplicated and fast"
"10";"ich habe mich gut beraten und aufgehoben gefühlt. Herr nachname hat auch während der Finanzierungsgestaltung mit der Bank, oft sich selbständig nach dem Stand der Dinge erkundigt und stand grundsätzlich in allen Belangen beratend zur Seite.";"Stetig";"I felt well advised and in good hands. Mr. surname has also during the financing arrangements with the bank, often independently inquired about the state of affairs and was always available to advise in all matters."
"11";"Besten Dank für die gute Abwicklung! Auch beim nächsten Mal werden wir Ihren Service gerne wieder nutzen.";"Stetig";"Thank you very much for the good handling! We will be happy to use your service again next time."
"12";"Sehr fachliche Beratung und schnelle, freundliche Bearbeitung";"Initiativ";"Very professional advice and fast, friendly processing"
"13";"Ich hätte es nicht geglaubt! Aber 2 Std nach Veröffentlichung der Ausschreibung lag das erste - sehr gute Angebot einer Bank vor. Innerhalb von einer Woche - und das trotz der Osterfeiertagen - war das Darlehen auf meinem Konto. Schnelle, unbürokratische Abwicklung. Professionelle Begleitung. Absolut empfehlenswert!";"Initiativ";"I wouldn't have believed it! But 2 hours after the publication of the tender there was the first - very good offer of a bank. Within a week - despite the Easter holidays - the loan was on my account. Fast, unbureaucratic processing Professional support Absolutely recommendable!"
"14";"Guter Kontakt, gute Beratung. Auch wenn wir diesesmal am Ende nicht zusammengekommen sind, kommen wir trotzdem gerne wieder auf Ihren Service zurück.";"Stetig";"Good contact, good advice. Even if we didn't get together at the end this time, we will still be happy to return to your service."
"15";"Als Selbständige ist es nicht so einfach ein Darlehen zu bekommen. Die Finanzexpertin Frau nachname führte zuerst mit mir ein Gespräch, um sich ein Bild meiner Lage zu machen. Nachdem ich dann alle Unterlagen zusammengestellt hatte und zu meiner Finanzexpertin mailte, machte sie sich gleich an die Arbeit und hatte ein positives Ergebnis binnen 24 Stunden. Damit hatte ich nicht gerechnet und bin noch total überrascht und freue mich sehr, über das Ergebnis. Ich kann nur jedem raten, an seine Träume zu glauben und die richtigen Experten dafür zu finden und die sind bei unternehmen... Herzlichen Dank und bin gespannt, was noch kommt!";"Stetig";"As a self-employed it is not so easy to get a loan. The financial expert Frau surname first had a conversation with me to get a picture of my situation. After I had compiled all the documents and e-mailed them to my financial expert, she went straight to work and had a positive result within 24 hours. I hadn't expected that and am still totally surprised and very happy about the result. I can only advise everyone to believe in their dreams and to find the right experts for them and they are at companies... Thank you very much and I'm curious to see what's to come!"
"16";"Wir haben kurzfristig eine Liquiditätsspritze benötigt innerhalb von rund 2 Wochen hatten wir das Geld auf unserem Konto. Herr nachname hat uns sehr gut beraten und begleitet. Wir können Herrn Nitsche sowie unternehmen zu 100 % weiterempfehlen.";"Stetig";"We have needed a short-term liquidity injection within about 2 weeks we had the money in our account. Mr. surname advised and accompanied us very well. We can recommend Mr. Nitsche and the company 100 %."
"17";"Schnelle Abläufe, kompetent";"Dominant";"Fast processes, competent"
"18";"Klasse Abwicklung, unkompliziert und schnell! Die Bankberaterin von unternehmen war super, ich war immer auf dem laufenden und somit konnten Fragen sofort beantwortet und geklärt werden! Ich werde Finanzen zukünftig nur noch über unternehmen abwickeln!";"Initiativ";"Great handling, uncomplicated and fast! The bank consultant of unternehmen was great, I was always up to date and so questions could be answered and clarified immediately! In the future, I will only handle finances through companies!"
"19";"Schnell, professionell und direkt. Man muß nicht lange warten dann rufen Sie einen zurück. Die Firma unternehmen geht auf einen ein. Vielen Dank an Herr D.....";"Initiativ";"Fast, professional and direct. You don't have to wait long then call one back. The company company will respond to you. Many thanks to Mr D....."
"20";"unternehmen ist nicht bloß eine kalte FinTech-Plattform, die Daten von links nach rechts verschiebt. unternehmen ist ein Team von echten Profis, die Dinge ermöglichen.";"Initiativ";"company is not just a cold FinTech platform that moves data from left to right. company is a team of real professionals who make things happen."
"21";"Es war uns eine Freude , mitzuerleben , dass es in dieser Branche noch Menschen gibt neben Computerzahlen und Annonymität. Vielen Dank ! S. DILLING";"Initiativ";"It was a pleasure for us to see that there are still people in this industry besides computer numbers and anonymity. Thanks a lot! S. DILLING"
"22";"Schnell, kompetent, günstiger Zinssatz, uneingeschränkt empfehlenswert";"Dominant";"Fast, competent, favourable interest rate, unrestrictedly recommendable"
"23";"Persönliche Betreuung, sehr nette Kollegen, schnelle Abwicklung.";"Initiativ";"Personal care, very nice colleagues, quick handling."
"24";"Persoenliche, freundliche und kompetente Betreuung. Sehr professionell und gut organisierte, schnell erfolgreiche Durchfuehrung unserer Ausschreibung. TOP Abwicklung Note 1+";"Initiativ";"Personal, friendly and competent support. Very professional and well organized, quickly successful execution of our tender. TOP processing grade 1+"
"25";"Herr nachname ist der Mann für das Unmögliche. Vielen vielen Dank";"Initiativ";"Lord last name is the man for the impossible. Thank you very much."
